LPE-OS,17/08/2023
"TE-OA, TE-W",17/08/2023
LPE-OS,17/08/2023
"TE-NE, TE-OS",17/08/2023
"PE-OA, PE-OM, IOS-Tr",17/08/2023
"B-OD, B-CX",17/08/2023
"F-OA, F-M",17/08/2023
"F-IS, F-OA",17/08/2023
"F-OA, F-IS",17/08/2023
LPE-OS,17/08/2023
"TE-OS, TE-P",17/08/2023
LPE-OS,17/08/2023
"LPE-OD, LPE-OA",17/08/2023
"PE-SA, B-SA, B-I",17/08/2023
MUR,17/08/2023
MUR,17/08/2023
"PW, PE-PR, PE-OM",17/08/2023
LPE-OD,17/08/2023
PE-OA,17/08/2023
"PE-OA, PE-SA",17/08/2023
IOS-A,17/08/2023
PE-OM,17/08/2023
"IOS-A, IOS-RR",17/08/2023
"TE-W, TE-OS, R-UCSD",22/09/2023
"TE-OS, TE-SA, TE-CS",17/08/2023
"TE-NE, TE-W, TE-OS, R-UCSD",22/09/2023
PE-OM,17/08/2023
"TE-NE, TE-OS, TE-P, TE-SM, TE-W, A-OS",17/08/2023
"TE-OS, TE-NT",17/08/2023
"TE-PR, TE-CS",17/08/2023
"TE-OS, TE-CP",18/08/2023
"TE-OA, TE-CP",18/08/2023
"TE-OS, TE-PD",18/08/2023
"TE-NT, TE-OS",18/08/2023
"F-IS, F-OER, TE-OER",18/08/2023
"B-OS, B-OA, B-NE",18/08/2023
WTL-PR,18/08/2023
LP-P,18/08/2023
"TE-NT, TE-OS",18/08/2023
LP-P,18/08/2023
LP-P,18/08/2023
"B-OS, B-F, B-KJP",18/08/2023
WTL-OS,18/08/2023
LP-P,18/08/2023
"B-SA, B-F",18/08/2023
"B-KJP, B-SA, LP-PPOV",18/08/2023
"B-SA, B-F, B-KJP",18/08/2023
LP-P,18/08/2023
LP-PPOV,18/08/2023
WTL-IP,18/08/2023
"B-R, B-OS, B-OD",18/08/2023
"WTL-OA, WTL-IP, B-OA, B-M",18/08/2023
"B-OD, B-IRB, B-F",18/08/2023
LP-P,18/08/2023
"WTL-OD, WTL-IRB, P-OD",18/08/2023
"WTL-SA, PE-SA, U-SA",18/08/2023
WTL-OER,18/08/2023
"LP-W, LP-I",14/08/2023
LP-H,14/08/2023
LP-V,14/08/2023
LP-S,14/08/2023
"LP-I, LP-W, LP-H, LP-V",14/08/2023
"LP-V, LP-H",14/08/2023
LP-A,14/08/2023
LP-A,14/08/2023
LP-S,14/08/2023
LP-H,14/08/2023
LP-V,14/08/2023
"LP-WG, LP-I",14/08/2023
B-PR,14/08/2023
B-LOO,14/08/2023
"B-PR, B-F",14/08/2023
"PE-PR, B-PD",14/08/2023
KOP-PR,14/08/2023
"F-DC, F-PR",14/08/2023
PE-PR,14/08/2023
LP-C,14/08/2023
"F-A, F-PR",14/08/2023
"B-LOO, B-T, B-PR",14/08/2023
"B-PR, B-CM",14/08/2023
"F-B, F-PR",14/08/2023
"B-PR, B-NE",14/08/2023
"F-PR, F-E",14/08/2023
U-PR,14/08/2023
"B-PR, B-T",14/08/2023
U-PR,14/08/2023
A-OD,14/08/2023
B-KJP,14/08/2023
B-SA,14/08/2023
B-CX,14/08/2023
"PE-SA, PE-NIH",14/08/2023
"B-T, PW",14/08/2023
B-I,14/08/2023
"PE-SA, PW, B-T",14/08/2023
B-SA,14/08/2023
"F-SA, F-IS, PE-SA",14/08/2023
U-SA,14/08/2023
B-CX,14/08/2023
"B-SA, B-I",14/08/2023
M-SA,14/08/2023
B-SA,14/08/2023
B-I,14/08/2023
PE-SA,14/08/2023
B-CX,14/08/2023
PE-OA,14/08/2023
"B-OA, B-M",14/08/2023
"B-OA, B-M, B-R",14/08/2023
"B-OA, B-M",14/08/2023
U-OA,14/08/2023
"F-OA, F-M",16/08/2023
"B-OA, B-R, B-M",24/08/2023
"F-OA,F-IS, F-M",16/08/2023
"B-OA, B-M, B-R",24/08/2023
"F-OA, F-M, F-IS",16/08/2023
"B-OA, B-M",16/08/2023
SOS-HELP,16/08/2023
"B-LOB, B-NE",22/09/2023
B-OD,16/08/2023
"B-LOB, B-NE",22/09/2023
"B-OD, B-T",16/08/2023
"F-OD, F-W, F-KOP",17/08/2023
"B-OD, B-R",17/08/2023
F-KOP,17/08/2023
F-OD,17/08/2023
F-CR,17/08/2023
F-KOP,17/08/2023
F-NIH,17/08/2023
F-KOP,17/08/2023
F-OD,17/08/2023
"F-OD, F-NIH",17/08/2023
IOS-RR,17/08/2023
IOS-RPG,17/08/2023
IOS-Tr,17/08/2023
IOS-T,17/08/2023
IOS-SIR,17/08/2023
IOS-LS,17/08/2023
CI-FC,17/08/2023
CI-MR,17/08/2023
CI-MR,17/08/2023
CI-SR,17/08/2023
CI-MC,17/08/2023
CI-LA,17/08/2023
CI-PT,17/08/2023
CI-LA,17/08/2023
CI-LA,17/08/2023
WTL-OS,17/08/2023
"F-OS, F-CS",22/09/2023
"B-OS, B-KOP",17/08/2023
"F-OS, F-CS",22/09/2023
"F-OS, F-CR",17/08/2023
