focus_group,fam_os,n
R1,Not Familiar at All,1
R1,Slightly Familiar,4
R1,Somewhat Familiar,5
R1,Moderately Familiar,4
R1,Extremely Familiar,2
Non-R1,Not Familiar at All,2
Non-R1,Slightly Familiar,6
Non-R1,Somewhat Familiar,7
Non-R1,Moderately Familiar,4
